"day","value"
2013-10-27,157.079361675
2013-10-28,156.087281496
2013-10-29,156.087281496
2013-10-30,155.977050365
2013-10-31,155.536125841
2013-11-01,154.544045662
2013-11-02,155.536125841
2013-11-03,155.536125841
2013-11-04,155.866819234
2013-11-05,155.42589471
2013-11-06,154.764507924
2013-11-07,155.205432448
2013-11-08,154.654276793
2013-11-09,154.764507924
2013-11-10,156.307743758
2013-11-11,154.984970186
2013-11-12,155.646356972
2013-11-13,155.095201317
2013-11-14,154.3235834
2013-11-15,153.441734352
2013-11-16,154.213352269
2013-11-17,154.764507924
2013-11-18,153.441734352
2013-11-19,153.992890007
2013-11-20,154.433814531
2013-11-21,154.874739055
2013-11-22,154.544045662
2013-11-23,155.42589471
2013-11-24,154.874739055
2013-11-25,155.095201317
2013-11-26,154.654276793
2013-11-27,154.213352269
2013-11-28,154.213352269
2013-11-29,153.772427745
2013-11-30,153.662196614
2013-12-01,154.874739055
2013-12-02,155.42589471
2013-12-03,155.646356972
2013-12-04,156.969130544
2013-12-05,157.189592806
2013-12-06,156.969130544
2013-12-07,155.756588103
2013-12-08,155.756588103
2013-12-09,155.095201317
2013-12-10,155.756588103
2013-12-11,155.315663579
2013-12-12,155.42589471
2013-12-13,155.866819234
2013-12-14,156.52820602
2013-12-15,156.197512627
2013-12-16,155.205432448
2013-12-17,155.646356972
2013-12-18,155.42589471
2013-12-19,155.205432448
2013-12-20,154.984970186
2013-12-21,154.764507924
2013-12-22,154.874739055
2013-12-23,154.213352269
2013-12-24,154.874739055
2013-12-25,155.315663579
2013-12-26,153.772427745
2013-12-27,154.544045662
2013-12-28,154.3235834
2013-12-29,155.095201317
2013-12-30,154.3235834
2013-12-31,154.764507924
2014-01-01,154.764507924
2014-01-02,153.882658876
2014-01-03,153.882658876
2014-01-04,153.992890007
2014-01-05,154.984970186
2014-01-06,153.992890007
2014-01-07,154.874739055
2014-01-08,154.654276793
2014-01-09,153.992890007
2014-01-10,153.882658876
2014-01-11,153.662196614
2014-01-12,154.874739055
2014-01-13,154.433814531
2014-01-14,154.103121138
2014-01-15,153.992890007
2014-01-16,153.551965483
2014-01-18,154.103121138
2014-01-19,154.103121138
2014-01-20,154.103121138
2014-01-21,153.331503221
2014-01-22,154.213352269
2014-01-23,153.331503221
2014-01-24,153.331503221
2014-01-25,154.103121138
2014-01-26,153.772427745
