"day","value"
2013-10-24,7335
2013-10-25,9936
2013-10-26,6054
2013-10-27,4312
2013-10-28,7134
2013-10-29,9331
2013-10-30,6258
2013-10-31,5571
2013-11-01,8230
2013-11-02,7432
2013-11-03,7778
2013-11-04,6181
2013-11-06,704
2013-11-07,7705
2013-11-08,7052
2013-11-09,8405
2013-11-10,6581
2013-11-11,7309
2013-11-12,5879
2013-11-13,7806
2013-11-14,7169
2013-11-15,8198
2013-11-16,7121
2013-11-17,7461
2013-11-18,7898
2013-11-19,7002
2013-11-20,8493
2013-11-21,3295
2013-11-22,2108
2013-11-23,2579
2013-11-24,4929
2013-11-25,5664
2013-11-26,6238
2013-11-27,7138
2013-11-28,8740
2013-11-29,3535
2013-11-30,6356
2013-12-01,5648
2013-12-02,4350
2013-12-03,12979
2013-12-04,15859
2013-12-05,13596
2013-12-06,13554
2013-12-07,15358
2013-12-08,7268
2013-12-09,4384
2013-12-10,6420
2013-12-11,6888
2013-12-12,14143
2013-12-13,4868
2013-12-14,3957
2013-12-15,4864
2013-12-16,5952
2013-12-17,8570
2013-12-18,8134
2013-12-19,8465
2013-12-20,6702
2013-12-21,7165
2013-12-22,9041
2013-12-23,6730
2013-12-24,5984
2013-12-25,3550
2013-12-26,4949
2013-12-27,3628
2013-12-28,5895
2013-12-29,5193
2013-12-30,2481
2013-12-31,5380
2014-01-01,7929
2014-01-02,5288
2014-01-03,6921
2014-01-04,5243
2014-01-05,5551
2014-01-06,4857
2014-01-07,7152
2014-01-08,6384
2014-01-09,6235
2014-01-10,5272
2014-01-11,6372
2014-01-12,6886
2014-01-13,7651
2014-01-14,8969
2014-01-15,6758
2014-01-16,7905
2014-01-17,6574
2014-01-18,7294
2014-01-19,8227
2014-01-20,8989
2014-01-21,8785
2014-01-22,3518
2014-01-23,6719
2014-01-24,5069
2014-01-25,8107
2014-01-26,5699
2014-01-27,6237
2014-01-28,5423
2014-01-29,4108
2014-01-30,4947
2014-01-31,7134
2014-02-01,4916
2014-02-02,4935
2014-02-03,6175
2014-02-04,4365
2014-02-05,8076
2014-02-06,4141
2014-02-07,5449
2014-02-08,2589
2014-02-09,8380
2014-02-10,6723
2014-02-11,6380
2014-02-12,4809
2014-02-13,10673
2014-02-14,7809
2014-02-15,8803
2014-02-16,9538
2014-02-17,5706
2014-02-18,5873
2014-02-19,6725
2014-02-20,5801
2014-02-21,5460
2014-02-22,7487
2014-02-23,3031
2014-02-24,7804
2014-02-25,4995
2014-02-26,4620
2014-02-27,8832
2014-02-28,6027
2014-03-01,3458
2014-03-02,3132
2014-03-03,5574
2014-03-04,3358
2014-03-05,7738
2014-03-06,7711
2014-03-07,6230
2014-03-08,5295
2014-03-09,7282
2014-03-10,7057
2014-03-11,7497
2014-03-12,6785
2014-03-13,8080
2014-03-14,6270
2014-03-15,9692
2014-03-16,7215
2014-03-17,7709
2014-03-18,7060
2014-03-19,7222
2014-03-20,7104
2014-03-21,7207
2014-03-22,5926
2014-03-23,7493
2014-03-24,7369
2014-03-25,7118
2014-03-26,7081
2014-03-27,7542
2014-03-28,5712
2014-03-29,7453
2014-03-30,7741
2014-03-31,4407
2014-04-01,7726
2014-04-02,7900
2014-04-03,7657
2014-04-04,7719
2014-04-05,7587
2014-04-06,7915
2014-04-07,9994
2014-04-08,6027
2014-04-09,7521
2014-04-10,5866
2014-04-11,11071
2014-04-12,6461
2014-04-13,5541
2014-04-14,7482
2014-04-15,8468
2014-04-16,8346
2014-04-17,6774
2014-04-18,10886
2014-04-19,4957
2014-04-20,5547
2014-04-21,5982
2014-04-22,9011
2014-04-23,7432
2014-04-24,6066
2014-04-25,4429
2014-04-26,10242
2014-04-27,7509
2014-04-28,7798
2014-04-29,7660
2014-04-30,7726
2014-05-01,9176
2014-05-02,8751
2014-05-03,6831
2014-05-04,8232
2014-05-05,8070
2014-05-06,11348
2014-05-07,9135
2014-05-08,8186
2014-05-09,7943
2014-05-10,7545
2014-05-11,7676
2014-05-12,7808
2014-05-13,7733
2014-05-14,8180
2014-05-15,8991
2014-05-16,10228
2014-05-17,6379
2014-05-18,7512
2014-05-19,7867
2014-05-20,7519
2014-05-21,7974
2014-05-22,7600
2014-05-23,7569
2014-05-24,5282
2014-05-25,7578
2014-05-26,7893
2014-05-27,9088
2014-05-28,9962
2014-05-29,7180
2014-05-30,5615
2014-05-31,5828
2014-06-01,3510
2014-06-02,5595
2014-06-03,4799
2014-06-04,6008
2014-06-05,4575
2014-06-06,5885
2014-06-07,6069
2014-06-08,5867
2014-06-09,5135
2014-06-10,5262
2014-06-11,5313
2014-06-12,5248
2014-06-13,5074
2014-06-14,3400
2014-06-15,6908
2014-06-16,4845
2014-06-17,5790
2014-06-18,5834
2014-06-19,6678
2014-06-20,5847
2014-06-21,6255
2014-06-22,5154
2014-06-23,6427
2014-06-24,5255
2014-06-25,6503
2014-06-26,6041
2014-06-27,5675
2014-06-28,4552
2014-06-29,5879
2014-06-30,4653
2014-07-01,5670
2014-07-02,4947
2014-07-03,5525
2014-07-04,7348
2014-07-05,7697
2014-07-06,8024
2014-07-07,8194
2014-07-08,9405
2014-07-09,6594
2014-07-10,6866
2014-07-11,6691
2014-07-12,7085
2014-07-13,7363
2014-07-14,9331
2014-07-15,4294
2014-07-16,6611
2014-07-17,5417
2014-07-18,7149
2014-07-19,6037
2014-07-20,5513
2014-07-21,4876
2014-07-22,6921
2014-07-23,7310
2014-07-24,1667
2014-07-25,6946
2014-07-26,5562
2014-07-27,7426
2014-07-28,6643
2014-07-29,4877
2014-07-30,5710
2014-07-31,7777
2014-08-01,4444
2014-08-02,6112
2014-08-03,6856
2014-08-04,6737
2014-08-05,6536
2014-08-06,6124
2014-08-07,7983
2014-08-08,8643
2014-08-09,7479
2014-08-10,4261
2014-08-11,5181
2014-08-12,4006
2014-08-13,15392
2014-08-14,16978
2014-08-15,6662
