,Date,Weight,Steps
251,2013-03-29,164.023922928,7167
252,2013-03-30,166.00808328600002,9207
253,2013-03-31,165.677389893,6919
254,2013-04-01,164.134154059,8306
255,2013-04-02,164.905771976,6869
256,2013-04-03,165.3466965,6184
257,2013-04-04,165.3466965,6260
258,2013-04-05,165.56715876200002,6287
259,2013-04-06,165.126234238,7268
260,2013-04-07,164.575078583,5448
261,2013-04-08,165.236465369,7090
262,2013-04-09,165.3466965,5340
263,2013-04-10,166.228545548,5464
264,2013-04-11,165.01600310700002,7583
265,2013-04-12,165.01600310700002,9873
266,2013-04-13,163.913691797,9326
267,2013-04-14,164.905771976,9201
268,2013-04-15,164.575078583,6580
269,2013-04-16,164.46484745200001,7774
270,2013-04-17,164.46484745200001,6817
271,2013-04-18,163.693229535,8538
272,2013-04-19,164.134154059,11801
273,2013-04-20,162.811380487,10869
274,2013-04-21,162.480687094,6826
275,2013-04-22,162.921611618,6314
276,2013-04-23,164.354616321,5353
277,2013-04-24,162.260224832,5981
278,2013-04-25,163.913691797,6388
279,2013-04-26,164.354616321,6187
280,2013-04-27,164.023922928,7838
281,2013-04-28,164.134154059,5738
282,2013-04-29,164.795540845,5986
283,2013-04-30,164.905771976,7396
284,2013-05-01,163.803460666,6795
285,2013-05-02,163.362536142,7468
286,2013-05-03,161.929531439,7383
287,2013-05-04,162.921611618,6537
288,2013-05-05,163.14207388,7821
289,2013-05-06,164.134154059,7229
290,2013-05-07,163.14207388,9494
291,2013-05-08,163.031842749,7595
292,2013-05-09,162.149993701,7290
293,2013-05-10,161.488606915,4505
294,2013-05-11,163.14207388,5066
295,2013-05-12,163.472767273,6433
296,2013-05-13,161.598838046,6905
297,2013-05-14,161.81930030799998,7631
298,2013-05-15,162.590918225,7934
299,2013-05-16,161.26814465299998,7406
300,2013-05-17,163.362536142,6567
301,2013-05-18,162.811380487,6803
302,2013-05-29,163.582998404,8238
303,2013-05-30,165.456927631,4521
304,2013-05-31,161.929531439,7400
305,2013-06-01,162.03976257,7125
306,2013-06-02,162.480687094,7097
307,2013-06-03,161.598838046,7137
308,2013-06-04,161.709069177,879
309,2013-06-05,162.260224832,7018
310,2013-06-06,163.031842749,7266
311,2013-06-07,163.803460666,7168
312,2013-06-08,164.023922928,6823
313,2013-06-09,164.795540845,6915
314,2013-06-10,164.134154059,9048
315,2013-06-11,163.14207388,7439
316,2013-06-12,162.260224832,7536
317,2013-06-13,162.149993701,7227
318,2013-06-14,162.260224832,5580
319,2013-06-15,162.260224832,8255
320,2013-06-16,163.803460666,8191
321,2013-06-17,163.693229535,7797
322,2013-06-18,162.37045596299998,6159
323,2013-06-19,162.590918225,7584
324,2013-06-20,162.480687094,6542
325,2013-06-21,162.03976257,7873
326,2013-06-22,162.37045596299998,6498
327,2013-06-23,162.149993701,5158
328,2013-06-24,160.82722012899998,5750
329,2013-06-25,161.047682391,7560
330,2013-06-26,161.488606915,6635
331,2013-06-27,160.055602212,6315
332,2013-06-28,160.716988998,4688
333,2013-06-29,160.496526736,6712
334,2013-06-30,160.93745126,6647
335,2013-07-01,161.598838046,5454
336,2013-07-02,161.709069177,5528
337,2013-07-03,160.82722012899998,5414
338,2013-07-04,160.165833343,3713
339,2013-07-05,161.488606915,6886
340,2013-07-06,161.709069177,6306
341,2013-07-07,160.93745126,5679
342,2013-07-08,160.82722012899998,4725
343,2013-07-09,160.82722012899998,5886
344,2013-07-10,160.606757867,6790
345,2013-07-11,160.93745126,5762
